county,precinct,office,district,party,candidate,votes
Cass,Countywide,President,1,LIB,Gary Johnson and James P. Gray,0
Cass,EV/AB,President,1,LIB,Gary Johnson and James P. Gray,0
Cass,Tipton,President,1,LIB,Gary Johnson and James P. Gray,15
Cass,McKelverly,President,1,LIB,Gary Johnson and James P. Gray,3
Cass,Salt Creek,President,1,LIB,Gary Johnson and James P. Gray,10
Cass,Stove Creek,President,1,LIB,Gary Johnson and James P. Gray,3
Cass,Murdock,President,1,LIB,Gary Johnson and James P. Gray,3
Cass,South Bend,President,1,LIB,Gary Johnson and James P. Gray,10
Cass,Center,President,1,LIB,Gary Johnson and James P. Gray,2
Cass,East Louisville,President,1,LIB,Gary Johnson and James P. Gray,10
Cass,West Louisville,President,1,LIB,Gary Johnson and James P. Gray,6
Cass,Avoca,President,1,LIB,Gary Johnson and James P. Gray,3
Cass,Mount Pleasant,President,1,LIB,Gary Johnson and James P. Gray,5
Cass,Eight Mile Grove,President,1,LIB,Gary Johnson and James P. Gray,3
Cass,Nehawka,President,1,LIB,Gary Johnson and James P. Gray,5
Cass,Liberty,President,1,LIB,Gary Johnson and James P. Gray,3
Cass,North Rock Bluff,President,1,LIB,Gary Johnson and James P. Gray,2
Cass,South Rock Bluff,President,1,LIB,Gary Johnson and James P. Gray,11
Cass,West Rock Bluff,President,1,LIB,Gary Johnson and James P. Gray,3
Cass,North Plattsmouth,President,1,LIB,Gary Johnson and James P. Gray,9
Cass,South Plattsmouth,President,1,LIB,Gary Johnson and James P. Gray,9
Cass,Weeping Water 1st Ward,President,1,LIB,Gary Johnson and James P. Gray,5
Cass,Weeping Water 2nd Ward,President,1,LIB,Gary Johnson and James P. Gray,3
Cass,1st Ward - 1st Precinct,President,1,LIB,Gary Johnson and James P. Gray,7
Cass,1st Ward - 2nd Precinct,President,1,LIB,Gary Johnson and James P. Gray,10
Cass,2nd Ward - 1st Precinct,President,1,LIB,Gary Johnson and James P. Gray,10
Cass,2nd Ward - 2nd Precinct,President,1,LIB,Gary Johnson and James P. Gray,3
Cass,3rd Ward - 1st Precinct,President,1,LIB,Gary Johnson and James P. Gray,10
Cass,3rd Ward - 2nd Precinct,President,1,LIB,Gary Johnson and James P. Gray,2
Cass,4th Ward - 1st Precinct,President,1,LIB,Gary Johnson and James P. Gray,5
Cass,4th Ward - 2nd Precinct,President,1,LIB,Gary Johnson and James P. Gray,4
Cass,EV/AB,President,1,LIB,Gary Johnson and James P. Gray,0
Cass,New/Former Resident,President,1,LIB,Gary Johnson and James P. Gray,0
Cass,Provisional,President,1,LIB,Gary Johnson and James P. Gray,0
Cass,Countywide,President,1,DEM,"Barack Obama and Joseph R. Biden, Jr.",0
Cass,EV/AB,President,1,DEM,"Barack Obama and Joseph R. Biden, Jr.",0
