county,precinct,office,district,party,candidate,votes
Lincoln,Countywide,President,3,LIB,Gary Johnson and James P. Gray,0
Lincoln,EV/AB,President,3,LIB,Gary Johnson and James P. Gray,74
Lincoln,FIRST,President,3,LIB,Gary Johnson and James P. Gray,17
Lincoln,SECOND,President,3,LIB,Gary Johnson and James P. Gray,9
Lincoln,THIRD,President,3,LIB,Gary Johnson and James P. Gray,6
Lincoln,FOURTH,President,3,LIB,Gary Johnson and James P. Gray,7
Lincoln,FIFTH,President,3,LIB,Gary Johnson and James P. Gray,1
Lincoln,SIXTH,President,3,LIB,Gary Johnson and James P. Gray,20
Lincoln,SEVENTH,President,3,LIB,Gary Johnson and James P. Gray,5
Lincoln,EIGHTH,President,3,LIB,Gary Johnson and James P. Gray,5
Lincoln,NINTH,President,3,LIB,Gary Johnson and James P. Gray,14
Lincoln,TENTH,President,3,LIB,Gary Johnson and James P. Gray,21
Lincoln,TWELFTH,President,3,LIB,Gary Johnson and James P. Gray,16
Lincoln,THIRTEENTH,President,3,LIB,Gary Johnson and James P. Gray,16
Lincoln,FIFTEENTH,President,3,LIB,Gary Johnson and James P. Gray,14
Lincoln,SIXTEENTH,President,3,LIB,Gary Johnson and James P. Gray,13
Lincoln,BRADY,President,3,LIB,Gary Johnson and James P. Gray,4
Lincoln,HALL,President,3,LIB,Gary Johnson and James P. Gray,14
Lincoln,HERSHEY,President,3,LIB,Gary Johnson and James P. Gray,19
Lincoln,HINMAN,President,3,LIB,Gary Johnson and James P. Gray,2
Lincoln,MAXWELL,President,3,LIB,Gary Johnson and James P. Gray,0
Lincoln,MEDICINE,President,3,LIB,Gary Johnson and James P. Gray,2
Lincoln,OSGOOD,President,3,LIB,Gary Johnson and James P. Gray,16
Lincoln,SELLERS,President,3,LIB,Gary Johnson and James P. Gray,2
Lincoln,SUTHERLAND,President,3,LIB,Gary Johnson and James P. Gray,17
Lincoln,WALLACE,President,3,LIB,Gary Johnson and James P. Gray,1
Lincoln,EV/AB,President,3,LIB,Gary Johnson and James P. Gray,0
Lincoln,New/Former Resident,President,3,LIB,Gary Johnson and James P. Gray,0
Lincoln,Provisional,President,3,LIB,Gary Johnson and James P. Gray,0
Lincoln,Countywide,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",0
Lincoln,EV/AB,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",1403
Lincoln,FIRST,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",187
Lincoln,SECOND,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",132
Lincoln,THIRD,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",116
Lincoln,FOURTH,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",72
Lincoln,FIFTH,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",67
Lincoln,SIXTH,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",314
Lincoln,SEVENTH,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",165
Lincoln,EIGHTH,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",173
Lincoln,NINTH,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",144
Lincoln,TENTH,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",259
Lincoln,TWELFTH,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",138
Lincoln,THIRTEENTH,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",258
Lincoln,FIFTEENTH,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",100
Lincoln,SIXTEENTH,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",109
Lincoln,BRADY,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",78
Lincoln,HALL,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",121
Lincoln,HERSHEY,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",116
Lincoln,HINMAN,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",61
Lincoln,MAXWELL,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",69
Lincoln,MEDICINE,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",11
Lincoln,OSGOOD,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",116
Lincoln,SELLERS,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",71
Lincoln,SUTHERLAND,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",141
Lincoln,WALLACE,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",29
Lincoln,EV/AB,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",0
Lincoln,New/Former Resident,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",0
Lincoln,Provisional,President,3,DEM,"Barack Obama and Joseph R. Biden, Jr.",0
Lincoln,Countywide,President,3,ZZZ,Randall A. Terry and Marjorie Smith,0
Lincoln,EV/AB,President,3,ZZZ,Randall A. Terry and Marjorie Smith,11
Lincoln,FIRST,President,3,ZZZ,Randall A. Terry and Marjorie Smith,2
Lincoln,SECOND,President,3,ZZZ,Randall A. Terry and Marjorie Smith,4
Lincoln,THIRD,President,3,ZZZ,Randall A. Terry and Marjorie Smith,4
Lincoln,FOURTH,President,3,ZZZ,Randall A. Terry and Marjorie Smith,0
Lincoln,FIFTH,President,3,ZZZ,Randall A. Terry and Marjorie Smith,1
Lincoln,SIXTH,President,3,ZZZ,Randall A. Terry and Marjorie Smith,1
Lincoln,SEVENTH,President,3,ZZZ,Randall A. Terry and Marjorie Smith,2
