county,precinct,office,district,party,candidate,votes
McPherson,Countywide,Senator,3,DEM,Dave Domina,0
McPherson,Absentee/Early Vote,Senator,3,DEM,Dave Domina,8
McPherson,Tryon 01,Senator,3,DEM,Dave Domina,32
McPherson,Absentee/Early Vote,Senator,3,DEM,Dave Domina,0
McPherson,Provisional,Senator,3,DEM,Dave Domina,0
McPherson,Countywide,Senator,3,ZZZ,Jim Jenkins,0
McPherson,Absentee/Early Vote,Senator,3,ZZZ,Jim Jenkins,3
McPherson,Tryon 01,Senator,3,ZZZ,Jim Jenkins,8
McPherson,Absentee/Early Vote,Senator,3,ZZZ,Jim Jenkins,0
McPherson,Provisional,Senator,3,ZZZ,Jim Jenkins,0
McPherson,Countywide,Senator,3,REP,Ben Sasse,0
McPherson,Absentee/Early Vote,Senator,3,REP,Ben Sasse,55
McPherson,Tryon 01,Senator,3,REP,Ben Sasse,135
McPherson,Absentee/Early Vote,Senator,3,REP,Ben Sasse,0
McPherson,Provisional,Senator,3,REP,Ben Sasse,0
McPherson,Countywide,Senator,3,ZZZ,Todd F. Watson,0
McPherson,Absentee/Early Vote,Senator,3,ZZZ,Todd F. Watson,3
McPherson,Tryon 01,Senator,3,ZZZ,Todd F. Watson,4
McPherson,Absentee/Early Vote,Senator,3,ZZZ,Todd F. Watson,0
McPherson,Provisional,Senator,3,ZZZ,Todd F. Watson,0
McPherson,Countywide,Representative,3,REP,Adrian Smith,0
McPherson,Absentee/Early Vote,Representative,3,REP,Adrian Smith,56
McPherson,Tryon 01,Representative,3,REP,Adrian Smith,153
McPherson,Absentee/Early Vote,Representative,3,REP,Adrian Smith,0
McPherson,Provisional,Representative,3,REP,Adrian Smith,0
McPherson,Countywide,Representative,3,DEM,Mark Sullivan,0
McPherson,Absentee/Early Vote,Representative,3,DEM,Mark Sullivan,10
McPherson,Tryon 01,Representative,3,DEM,Mark Sullivan,26
McPherson,Absentee/Early Vote,Representative,3,DEM,Mark Sullivan,0
McPherson,Provisional,Representative,3,DEM,Mark Sullivan,0
McPherson,Countywide,Governor,3,DEM,Chuck Hassebrook and Jane Raybould,0
McPherson,Absentee/Early Vote,Governor,3,DEM,Chuck Hassebrook and Jane Raybould,13
McPherson,Tryon 01,Governor,3,DEM,Chuck Hassebrook and Jane Raybould,36
McPherson,Absentee/Early Vote,Governor,3,DEM,Chuck Hassebrook and Jane Raybould,0
McPherson,Provisional,Governor,3,DEM,Chuck Hassebrook and Jane Raybould,0
McPherson,Countywide,Governor,3,REP,Pete Ricketts and Mike Foley,0
McPherson,Absentee/Early Vote,Governor,3,REP,Pete Ricketts and Mike Foley,50
McPherson,Tryon 01,Governor,3,REP,Pete Ricketts and Mike Foley,128
McPherson,Absentee/Early Vote,Governor,3,REP,Pete Ricketts and Mike Foley,0
McPherson,Provisional,Governor,3,REP,Pete Ricketts and Mike Foley,0
McPherson,Countywide,Governor,3,LIB,Mark G. Elworth Jr. and Scott Zimmerman,0
McPherson,Absentee/Early Vote,Governor,3,LIB,Mark G. Elworth Jr. and Scott Zimmerman,3
McPherson,Tryon 01,Governor,3,LIB,Mark G. Elworth Jr. and Scott Zimmerman,11
McPherson,Absentee/Early Vote,Governor,3,LIB,Mark G. Elworth Jr. and Scott Zimmerman,0
McPherson,Provisional,Governor,3,LIB,Mark G. Elworth Jr. and Scott Zimmerman,0
McPherson,Countywide,Secretary of State,3,LIB,Ben Backus,0
McPherson,Absentee/Early Vote,Secretary of State,3,LIB,Ben Backus,7
McPherson,Tryon 01,Secretary of State,3,LIB,Ben Backus,21
McPherson,Absentee/Early Vote,Secretary of State,3,LIB,Ben Backus,0
McPherson,Provisional,Secretary of State,3,LIB,Ben Backus,0
McPherson,Countywide,Secretary of State,3,REP,John A. Gale,0
McPherson,Absentee/Early Vote,Secretary of State,3,REP,John A. Gale,60
McPherson,Tryon 01,Secretary of State,3,REP,John A. Gale,155
McPherson,Absentee/Early Vote,Secretary of State,3,REP,John A. Gale,0
McPherson,Provisional,Secretary of State,3,REP,John A. Gale,0
McPherson,Countywide,State Treasurer,3,LIB,Michael Knebel,0
McPherson,Absentee/Early Vote,State Treasurer,3,LIB,Michael Knebel,3
McPherson,Tryon 01,State Treasurer,3,LIB,Michael Knebel,10
McPherson,Absentee/Early Vote,State Treasurer,3,LIB,Michael Knebel,0
McPherson,Provisional,State Treasurer,3,LIB,Michael Knebel,0
McPherson,Countywide,State Treasurer,3,DEM,Michael J. O'Hara,0
McPherson,Absentee/Early Vote,State Treasurer,3,DEM,Michael J. O'Hara,6
McPherson,Tryon 01,State Treasurer,3,DEM,Michael J. O'Hara,16
McPherson,Absentee/Early Vote,State Treasurer,3,DEM,Michael J. O'Hara,0
McPherson,Provisional,State Treasurer,3,DEM,Michael J. O'Hara,0
McPherson,Countywide,State Treasurer,3,REP,Don Stenberg,0
McPherson,Absentee/Early Vote,State Treasurer,3,REP,Don Stenberg,55
McPherson,Tryon 01,State Treasurer,3,REP,Don Stenberg,148
McPherson,Absentee/Early Vote,State Treasurer,3,REP,Don Stenberg,0
McPherson,Provisional,State Treasurer,3,REP,Don Stenberg,0
McPherson,Countywide,Attorney General,3,REP,Doug Peterson,0
McPherson,Absentee/Early Vote,Attorney General,3,REP,Doug Peterson,52
McPherson,Tryon 01,Attorney General,3,REP,Doug Peterson,138
McPherson,Absentee/Early Vote,Attorney General,3,REP,Doug Peterson,0
McPherson,Provisional,Attorney General,3,REP,Doug Peterson,0
McPherson,Countywide,Attorney General,3,DEM,Janet Stewart,0
McPherson,Absentee/Early Vote,Attorney General,3,DEM,Janet Stewart,9
McPherson,Tryon 01,Attorney General,3,DEM,Janet Stewart,27
McPherson,Absentee/Early Vote,Attorney General,3,DEM,Janet Stewart,0
McPherson,Provisional,Attorney General,3,DEM,Janet Stewart,0
McPherson,Countywide,Auditor,3,REP,Charlie Janssen,0
McPherson,Absentee/Early Vote,Auditor,3,REP,Charlie Janssen,41
McPherson,Tryon 01,Auditor,3,REP,Charlie Janssen,120
McPherson,Absentee/Early Vote,Auditor,3,REP,Charlie Janssen,0
McPherson,Provisional,Auditor,3,REP,Charlie Janssen,0
McPherson,Countywide,Auditor,3,DEM,Amanda McGill,0
McPherson,Absentee/Early Vote,Auditor,3,DEM,Amanda McGill,12
McPherson,Tryon 01,Auditor,3,DEM,Amanda McGill,31
McPherson,Absentee/Early Vote,Auditor,3,DEM,Amanda McGill,0
McPherson,Provisional,Auditor,3,DEM,Amanda McGill,0
