county,precinct,office,district,party,candidate,votes
Nemaha,Countywide,U.S. Senate,3,DEM,Dave Domina,0
Nemaha,Absentee/Early Vote,U.S. Senate,3,DEM,Dave Domina,95
Nemaha,Brownville,U.S. Senate,3,DEM,Dave Domina,42
Nemaha,1st Douglas - Glenrock,U.S. Senate,3,DEM,Dave Domina,58
Nemaha,2nd Douglas,U.S. Senate,3,DEM,Dave Domina,80
Nemaha,3rd Douglas,U.S. Senate,3,DEM,Dave Domina,64
Nemaha,4th Douglas,U.S. Senate,3,DEM,Dave Domina,67
Nemaha,Lafayette,U.S. Senate,3,DEM,Dave Domina,18
Nemaha,Nemaha,U.S. Senate,3,DEM,Dave Domina,23
Nemaha,Peru,U.S. Senate,3,DEM,Dave Domina,41
Nemaha,Washington - Benton,U.S. Senate,3,DEM,Dave Domina,66
Nemaha,Absentee/Early Vote,U.S. Senate,3,DEM,Dave Domina,0
Nemaha,Provisional,U.S. Senate,3,DEM,Dave Domina,0
Nemaha,Countywide,U.S. Senate,3,,Jim Jenkins,0
Nemaha,Absentee/Early Vote,U.S. Senate,3,,Jim Jenkins,10
Nemaha,Brownville,U.S. Senate,3,,Jim Jenkins,2
Nemaha,1st Douglas - Glenrock,U.S. Senate,3,,Jim Jenkins,8
Nemaha,2nd Douglas,U.S. Senate,3,,Jim Jenkins,8
Nemaha,3rd Douglas,U.S. Senate,3,,Jim Jenkins,15
Nemaha,4th Douglas,U.S. Senate,3,,Jim Jenkins,11
Nemaha,Lafayette,U.S. Senate,3,,Jim Jenkins,4
Nemaha,Nemaha,U.S. Senate,3,,Jim Jenkins,5
Nemaha,Peru,U.S. Senate,3,,Jim Jenkins,4
Nemaha,Washington - Benton,U.S. Senate,3,,Jim Jenkins,7
Nemaha,Absentee/Early Vote,U.S. Senate,3,,Jim Jenkins,0
Nemaha,Provisional,U.S. Senate,3,,Jim Jenkins,0
Nemaha,Countywide,U.S. Senate,3,REP,Ben Sasse,0
Nemaha,Absentee/Early Vote,U.S. Senate,3,REP,Ben Sasse,266
Nemaha,Brownville,U.S. Senate,3,REP,Ben Sasse,109
Nemaha,1st Douglas - Glenrock,U.S. Senate,3,REP,Ben Sasse,184
Nemaha,2nd Douglas,U.S. Senate,3,REP,Ben Sasse,192
Nemaha,3rd Douglas,U.S. Senate,3,REP,Ben Sasse,216
Nemaha,4th Douglas,U.S. Senate,3,REP,Ben Sasse,256
Nemaha,Lafayette,U.S. Senate,3,REP,Ben Sasse,62
Nemaha,Nemaha,U.S. Senate,3,REP,Ben Sasse,83
Nemaha,Peru,U.S. Senate,3,REP,Ben Sasse,119
Nemaha,Washington - Benton,U.S. Senate,3,REP,Ben Sasse,243
Nemaha,Absentee/Early Vote,U.S. Senate,3,REP,Ben Sasse,0
Nemaha,Provisional,U.S. Senate,3,REP,Ben Sasse,0
Nemaha,Countywide,U.S. Senate,3,,Todd F. Watson,0
Nemaha,Absentee/Early Vote,U.S. Senate,3,,Todd F. Watson,3
Nemaha,Brownville,U.S. Senate,3,,Todd F. Watson,1
Nemaha,1st Douglas - Glenrock,U.S. Senate,3,,Todd F. Watson,6
Nemaha,2nd Douglas,U.S. Senate,3,,Todd F. Watson,4
Nemaha,3rd Douglas,U.S. Senate,3,,Todd F. Watson,3
Nemaha,4th Douglas,U.S. Senate,3,,Todd F. Watson,9
Nemaha,Lafayette,U.S. Senate,3,,Todd F. Watson,3
Nemaha,Nemaha,U.S. Senate,3,,Todd F. Watson,4
Nemaha,Peru,U.S. Senate,3,,Todd F. Watson,4
Nemaha,Washington - Benton,U.S. Senate,3,,Todd F. Watson,4
Nemaha,Absentee/Early Vote,U.S. Senate,3,,Todd F. Watson,0
Nemaha,Provisional,U.S. Senate,3,,Todd F. Watson,0
Nemaha,Countywide,U.S. House,3,REP,Adrian Smith,0
Nemaha,Absentee/Early Vote,U.S. House,3,REP,Adrian Smith,249
Nemaha,Brownville,U.S. House,3,REP,Adrian Smith,89
Nemaha,1st Douglas - Glenrock,U.S. House,3,REP,Adrian Smith,169
Nemaha,2nd Douglas,U.S. House,3,REP,Adrian Smith,187
Nemaha,3rd Douglas,U.S. House,3,REP,Adrian Smith,210
Nemaha,4th Douglas,U.S. House,3,REP,Adrian Smith,245
Nemaha,Lafayette,U.S. House,3,REP,Adrian Smith,60
Nemaha,Nemaha,U.S. House,3,REP,Adrian Smith,65
