"county","precinct","district","office","party","candidate","votes"
"Garfield","1",NA,"President","DEM","Hillary Clinton",50
"Garfield","2",NA,"President","DEM","Hillary Clinton",32
"Garfield","3",NA,"President","DEM","Hillary Clinton",39
"Garfield","Absentee/Early Vote",NA,"President","DEM","Hillary Clinton",0
"Garfield","Countywide",NA,"President","DEM","Hillary Clinton",0
"Garfield","New/Former Resident",NA,"President","DEM","Hillary Clinton",0
"Garfield","1",NA,"President","LIB","Gary Johnson",5
"Garfield","2",NA,"President","LIB","Gary Johnson",7
"Garfield","3",NA,"President","LIB","Gary Johnson",11
"Garfield","Absentee/Early Vote",NA,"President","LIB","Gary Johnson",0
"Garfield","Countywide",NA,"President","LIB","Gary Johnson",0
"Garfield","New/Former Resident",NA,"President","LIB","Gary Johnson",0
"Garfield","1",NA,"President","","Jill Stein",1
"Garfield","2",NA,"President","","Jill Stein",0
"Garfield","3",NA,"President","","Jill Stein",4
"Garfield","Absentee/Early Vote",NA,"President","","Jill Stein",0
"Garfield","Countywide",NA,"President","","Jill Stein",0
"Garfield","New/Former Resident",NA,"President","","Jill Stein",0
"Garfield","1",NA,"President","REP","Donald J. Trump",261
"Garfield","2",NA,"President","REP","Donald J. Trump",208
"Garfield","3",NA,"President","REP","Donald J. Trump",352
"Garfield","Absentee/Early Vote",NA,"President","REP","Donald J. Trump",0
"Garfield","Countywide",NA,"President","REP","Donald J. Trump",0
"Garfield","New/Former Resident",NA,"President","REP","Donald J. Trump",0
"Garfield","1",3,"U.S. House","REP","Adrian Smith",284
"Garfield","2",3,"U.S. House","REP","Adrian Smith",221
"Garfield","3",3,"U.S. House","REP","Adrian Smith",348
"Garfield","Absentee/Early Vote",3,"U.S. House","REP","Adrian Smith",0
"Garfield","Countywide",3,"U.S. House","REP","Adrian Smith",0
"Garfield","New/Former Resident",3,"U.S. House","REP","Adrian Smith",0
"Garfield","1",41,"State Legislature","","Tom Briese",209
"Garfield","2",41,"State Legislature","","Tom Briese",173
"Garfield","3",41,"State Legislature","","Tom Briese",273
"Garfield","Absentee/Early Vote",41,"State Legislature","","Tom Briese",0
"Garfield","Countywide",41,"State Legislature","","Tom Briese",0
"Garfield","New/Former Resident",41,"State Legislature","","Tom Briese",0
